week_index,month_index,weekly_mean_error,weekly_p95_error,baseline_mean,baseline_p95,decision
8402,2100,0.058415573,0.058415573090314865,0.002358785131946206,0.002593876922037452,🔴
8403,2100,0.06519649,0.06519649177789688,0.002358785131946206,0.002593876922037452,🔴
8404,2101,0.07143306,0.07143305987119675,0.002358785131946206,0.002593876922037452,🟡
8405,2101,0.07840081,0.07840081304311752,0.002358785131946206,0.002593876922037452,🔴
8406,2101,0.086973734,0.08697373420000076,0.002358785131946206,0.002593876922037452,🔴
8407,2101,0.09640036,0.09640035778284073,0.002358785131946206,0.002593876922037452,🔴
8408,2102,0.105893746,0.10589374601840973,0.002358785131946206,0.002593876922037452,🟡
8409,2102,0.11558685,0.11558684706687927,0.002358785131946206,0.002593876922037452,🔴
8410,2102,0.12710473,0.1271047294139862,0.002358785131946206,0.002593876922037452,🔴
8411,2102,0.13837808,0.1383780837059021,0.002358785131946206,0.002593876922037452,🔴
8412,2103,0.15064773,0.15064772963523865,0.002358785131946206,0.002593876922037452,🟡
8413,2103,0.16394235,0.163942351937294,0.002358785131946206,0.002593876922037452,🔴
8414,2103,0.17795883,0.17795883119106293,0.002358785131946206,0.002593876922037452,🔴
8415,2103,0.19250385,0.19250385463237762,0.002358785131946206,0.002593876922037452,🔴
8416,2104,0.20730144,0.20730143785476685,0.002358785131946206,0.002593876922037452,🟡
8417,2104,0.2235535,0.22355349361896515,0.002358785131946206,0.002593876922037452,🔴
8418,2104,0.24077821,0.24077820777893066,0.002358785131946206,0.002593876922037452,🔴
8419,2104,0.25661173,0.25661173462867737,0.002358785131946206,0.002593876922037452,🔴
8420,2105,0.27072877,0.2707287669181824,0.002358785131946206,0.002593876922037452,🟡
8421,2105,0.28867182,0.2886718213558197,0.002358785131946206,0.002593876922037452,🔴
8422,2105,0.30701202,0.30701202154159546,0.002358785131946206,0.002593876922037452,🔴
8423,2105,0.32125252,0.3212525248527527,0.002358785131946206,0.002593876922037452,🔴
8424,2106,0.3340059,0.3340058922767639,0.002358785131946206,0.002593876922037452,🟡
8425,2106,0.34765583,0.3476558327674866,0.002358785131946206,0.002593876922037452,🔴
8426,2106,0.3630647,0.363064706325531,0.002358785131946206,0.002593876922037452,🔴
8427,2106,0.37565652,0.37565651535987854,0.002358785131946206,0.002593876922037452,🔴
8428,2107,0.39134723,0.3913472294807434,0.002358785131946206,0.002593876922037452,🟡
8429,2107,0.4121212,0.4121212065219879,0.002358785131946206,0.002593876922037452,🔴
8430,2107,0.4342868,0.43428680300712585,0.002358785131946206,0.002593876922037452,🔴
8431,2107,0.45875666,0.4587566554546356,0.002358785131946206,0.002593876922037452,🔴
8432,2108,0.4806701,0.48067009449005127,0.002358785131946206,0.002593876922037452,🟡
